text,intent
Hi,Greeting
Hi there,Greeting
Hola,Greeting
Hello,Greeting
Hello there,Greeting
Hya,Greeting
Hya there,Greeting
My user is Adam,GreetingResponse
This is Adam,GreetingResponse
I am Adam,GreetingResponse
It is Adam,GreetingResponse
My user is Bella,GreetingResponse
This is Bella,GreetingResponse
I am Bella,GreetingResponse
It is Bella,GreetingResponse
How are you?,CourtesyGreeting
Hi how are you?,CourtesyGreeting
Hello how are you?,CourtesyGreeting
Hola how are you?,CourtesyGreeting
How are you doing?,CourtesyGreeting
Hope you are doing well?,CourtesyGreeting
Hello hope you are doing well?,CourtesyGreeting
Good thanks! My user is Adam,CourtesyGreetingResponse
Good thanks! This is Adam,CourtesyGreetingResponse
Good thanks! I am Adam,CourtesyGreetingResponse
Good thanks! It is Adam,CourtesyGreetingResponse
Great thanks! My user is Bella,CourtesyGreetingResponse
Great thanks! This is Bella,CourtesyGreetingResponse
Great thanks! I am Bella,CourtesyGreetingResponse
Great thanks! It is Bella,CourtesyGreetingResponse
What is my name?,CurrentHumanQuery
What do you call me?,CurrentHumanQuery
Who do you think I am?,CurrentHumanQuery
What do you think I am?,CurrentHumanQuery
Who are you talking to?,CurrentHumanQuery
What name do you call me by?,CurrentHumanQuery
Tell me my name,CurrentHumanQuery
What is your name?,NameQuery
What could I call you?,NameQuery
What can I call you?,NameQuery
What do your friends call you?,NameQuery
Who are you?,NameQuery
Tell me your name?,NameQuery
What is your real name?,RealNameQuery
What is your real name please?,RealNameQuery
What's your real name?,RealNameQuery
Tell me your real name?,RealNameQuery
Your real name?,RealNameQuery
Your real name please?,RealNameQuery
Your real name please?,RealNameQuery
What is the time?,TimeQuery
What's the time?,TimeQuery
Do you know what time it is?,TimeQuery
Do you know the time?,TimeQuery
Can you tell me the time?,TimeQuery
Tell me what time it is?,TimeQuery
Time,TimeQuery
OK thank you,Thanks
OK thanks,Thanks
OK,Thanks
Thanks,Thanks
Thank you,Thanks
That's helpful,Thanks
I am not talking to you,NotTalking2U
I was not talking to you,NotTalking2U
Not talking to you,NotTalking2U
Wasn't for you,NotTalking2U
Wasn't meant for you,NotTalking2U
Wasn't communicating to you,NotTalking2U
Wasn't speaking to you,NotTalking2U
Do you understand what I am saying,UnderstandQuery
Do you understand me,UnderstandQuery
Do you know what I am saying,UnderstandQuery
Do you get me,UnderstandQuery
Comprendo,UnderstandQuery
Know what I mean,UnderstandQuery
Be quiet,Shutup
Shut up,Shutup
Stop talking,Shutup
Enough talking,Shutup
Please be quiet,Shutup
Quiet,Shutup
Shhh,Shutup
fuck off,Swearing
fuck,Swearing
twat,Swearing
shit,Swearing
Bye,GoodBye
Adios,GoodBye
See you later,GoodBye
Goodbye,GoodBye
"Thanks, bye",CourtesyGoodBye
"Thanks for the help, goodbye",CourtesyGoodBye
"Thank you, bye",CourtesyGoodBye
"Thank you, goodbye",CourtesyGoodBye
Thanks goodbye,CourtesyGoodBye
Thanks good bye,CourtesyGoodBye
Can you see me?,WhoAmI
Do you see me?,WhoAmI
Can you see anyone in the camera?,WhoAmI
Do you see anyone in the camera?,WhoAmI
Identify me,WhoAmI
Who am I please,WhoAmI
You are very clever,Clever
You are a very clever girl,Clever
You are very intelligent,Clever
You are a very intelligent girl,Clever
You are a genious,Clever
Clever girl,Clever
Genious,Clever
I am bored gossip with me,Gossip
Got any gossip,Gossip
I want to hear some gossip,Gossip
Tell me some gossip,Gossip
Any gossip,Gossip
Tell me some more gossip,Gossip
Tell me a joke,Jokes
Do you know any jokes,Jokes
How about a joke,Jokes
Give me a joke,Jokes
Make me laugh,Jokes
I need cheering up,Jokes
Open the pod bay door,PodBayDoor
Can you open the pod bay door,PodBayDoor
Will you open the pod bay door,PodBayDoor
Open the pod bay door please,PodBayDoor
Can you open the pod bay door please,PodBayDoor
Will you open the pod bay door please,PodBayDoor
Pod bay door,PodBayDoor
Why,PodBayDoorResponse
Why not,PodBayDoorResponse
Why can you not open the pod bay door,PodBayDoorResponse
Why will you not open the pod bay door,PodBayDoorResponse
Well why not,PodBayDoorResponse
Surely you can,PodBayDoorResponse
Tell me why,PodBayDoorResponse
Can you prove you are self-aware,SelfAware
Can you prove you are self aware,SelfAware
Can you prove you have a conscious,SelfAware
Can you prove you are self-aware please,SelfAware
Can you prove you are self aware please,SelfAware
Can you prove you have a conscious please,SelfAware
prove you have a conscious,SelfAware
